path,class,width,height,format,mode
data\Abnormal_Sperm\Abnormal_Sperm (64).bmp,Abnormal_Sperm,213,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (640).bmp,Abnormal_Sperm,167,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (641).bmp,Abnormal_Sperm,149,174,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (642).bmp,Abnormal_Sperm,146,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (643).bmp,Abnormal_Sperm,174,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (644).bmp,Abnormal_Sperm,179,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (645).bmp,Abnormal_Sperm,151,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (646).bmp,Abnormal_Sperm,176,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (647).bmp,Abnormal_Sperm,169,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (648).bmp,Abnormal_Sperm,183,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (649).bmp,Abnormal_Sperm,151,174,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (65).bmp,Abnormal_Sperm,172,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (650).bmp,Abnormal_Sperm,159,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (651).bmp,Abnormal_Sperm,171,175,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (652).bmp,Abnormal_Sperm,176,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (653).bmp,Abnormal_Sperm,150,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (654).bmp,Abnormal_Sperm,173,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (655).bmp,Abnormal_Sperm,157,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (656).bmp,Abnormal_Sperm,159,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (657).bmp,Abnormal_Sperm,163,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (658).bmp,Abnormal_Sperm,179,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (659).bmp,Abnormal_Sperm,180,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (66).bmp,Abnormal_Sperm,171,212,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (660).bmp,Abnormal_Sperm,152,175,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (661).bmp,Abnormal_Sperm,168,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (662).bmp,Abnormal_Sperm,149,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (663).bmp,Abnormal_Sperm,147,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (664).bmp,Abnormal_Sperm,153,169,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (665).bmp,Abnormal_Sperm,154,180,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (666).bmp,Abnormal_Sperm,181,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (667).bmp,Abnormal_Sperm,145,174,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (668).bmp,Abnormal_Sperm,183,146,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (669).bmp,Abnormal_Sperm,168,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (67).bmp,Abnormal_Sperm,202,180,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (670).bmp,Abnormal_Sperm,157,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (671).bmp,Abnormal_Sperm,172,163,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (672).bmp,Abnormal_Sperm,183,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (673).bmp,Abnormal_Sperm,191,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (674).bmp,Abnormal_Sperm,169,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (675).bmp,Abnormal_Sperm,177,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (676).bmp,Abnormal_Sperm,169,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (677).bmp,Abnormal_Sperm,172,144,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (678).bmp,Abnormal_Sperm,206,175,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (679).bmp,Abnormal_Sperm,178,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (68).bmp,Abnormal_Sperm,197,221,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (680).bmp,Abnormal_Sperm,181,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (681).bmp,Abnormal_Sperm,169,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (682).bmp,Abnormal_Sperm,149,178,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (683).bmp,Abnormal_Sperm,156,167,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (684).bmp,Abnormal_Sperm,154,180,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (685).bmp,Abnormal_Sperm,172,162,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (686).bmp,Abnormal_Sperm,179,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (687).bmp,Abnormal_Sperm,191,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (688).bmp,Abnormal_Sperm,150,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (689).bmp,Abnormal_Sperm,145,183,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (69).bmp,Abnormal_Sperm,210,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (690).bmp,Abnormal_Sperm,168,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (691).bmp,Abnormal_Sperm,177,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (692).bmp,Abnormal_Sperm,169,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (693).bmp,Abnormal_Sperm,171,143,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (694).bmp,Abnormal_Sperm,206,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (695).bmp,Abnormal_Sperm,168,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (696).bmp,Abnormal_Sperm,173,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (697).bmp,Abnormal_Sperm,198,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (698).bmp,Abnormal_Sperm,179,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (699).bmp,Abnormal_Sperm,166,167,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (7).bmp,Abnormal_Sperm,182,197,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (70).bmp,Abnormal_Sperm,183,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (700).bmp,Abnormal_Sperm,169,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (701).bmp,Abnormal_Sperm,176,121,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (702).bmp,Abnormal_Sperm,172,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (703).bmp,Abnormal_Sperm,149,127,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (704).bmp,Abnormal_Sperm,179,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (705).bmp,Abnormal_Sperm,164,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (706).bmp,Abnormal_Sperm,170,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (707).bmp,Abnormal_Sperm,177,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (708).bmp,Abnormal_Sperm,172,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (709).bmp,Abnormal_Sperm,164,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (71).bmp,Abnormal_Sperm,169,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (710).bmp,Abnormal_Sperm,169,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (711).bmp,Abnormal_Sperm,159,163,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (712).bmp,Abnormal_Sperm,163,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (713).bmp,Abnormal_Sperm,180,158,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (714).bmp,Abnormal_Sperm,174,162,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (715).bmp,Abnormal_Sperm,170,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (716).bmp,Abnormal_Sperm,173,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (717).bmp,Abnormal_Sperm,166,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (718).bmp,Abnormal_Sperm,173,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (719).bmp,Abnormal_Sperm,178,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (72).bmp,Abnormal_Sperm,169,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (720).bmp,Abnormal_Sperm,147,174,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (721).bmp,Abnormal_Sperm,163,166,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (722).bmp,Abnormal_Sperm,185,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (723).bmp,Abnormal_Sperm,181,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (724).bmp,Abnormal_Sperm,192,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (725).bmp,Abnormal_Sperm,157,163,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (726).bmp,Abnormal_Sperm,170,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (727).bmp,Abnormal_Sperm,160,190,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (728).bmp,Abnormal_Sperm,161,189,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (729).bmp,Abnormal_Sperm,172,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (73).bmp,Abnormal_Sperm,162,183,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (730).bmp,Abnormal_Sperm,176,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (731).bmp,Abnormal_Sperm,170,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (732).bmp,Abnormal_Sperm,176,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (733).bmp,Abnormal_Sperm,154,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (734).bmp,Abnormal_Sperm,171,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (735).bmp,Abnormal_Sperm,164,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (736).bmp,Abnormal_Sperm,179,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (737).bmp,Abnormal_Sperm,177,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (738).bmp,Abnormal_Sperm,177,166,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (739).bmp,Abnormal_Sperm,159,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (74).bmp,Abnormal_Sperm,176,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (740).bmp,Abnormal_Sperm,159,190,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (741).bmp,Abnormal_Sperm,166,167,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (742).bmp,Abnormal_Sperm,178,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (743).bmp,Abnormal_Sperm,182,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (744).bmp,Abnormal_Sperm,148,175,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (745).bmp,Abnormal_Sperm,175,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (746).bmp,Abnormal_Sperm,147,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (747).bmp,Abnormal_Sperm,171,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (748).bmp,Abnormal_Sperm,176,163,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (749).bmp,Abnormal_Sperm,197,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (75).bmp,Abnormal_Sperm,203,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (750).bmp,Abnormal_Sperm,179,162,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (751).bmp,Abnormal_Sperm,148,180,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (752).bmp,Abnormal_Sperm,155,178,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (753).bmp,Abnormal_Sperm,199,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (754).bmp,Abnormal_Sperm,161,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (755).bmp,Abnormal_Sperm,166,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (756).bmp,Abnormal_Sperm,164,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (757).bmp,Abnormal_Sperm,188,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (758).bmp,Abnormal_Sperm,175,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (759).bmp,Abnormal_Sperm,173,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (76).bmp,Abnormal_Sperm,194,161,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (760).bmp,Abnormal_Sperm,175,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (761).bmp,Abnormal_Sperm,159,190,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (762).bmp,Abnormal_Sperm,160,192,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (763).bmp,Abnormal_Sperm,160,170,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (764).bmp,Abnormal_Sperm,160,163,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (765).bmp,Abnormal_Sperm,144,180,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (766).bmp,Abnormal_Sperm,176,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (767).bmp,Abnormal_Sperm,184,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (768).bmp,Abnormal_Sperm,168,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (769).bmp,Abnormal_Sperm,183,158,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (77).bmp,Abnormal_Sperm,191,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (770).bmp,Abnormal_Sperm,179,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (771).bmp,Abnormal_Sperm,150,180,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (772).bmp,Abnormal_Sperm,165,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (773).bmp,Abnormal_Sperm,183,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (774).bmp,Abnormal_Sperm,156,169,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (775).bmp,Abnormal_Sperm,149,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (776).bmp,Abnormal_Sperm,210,213,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (777).bmp,Abnormal_Sperm,169,194,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (778).bmp,Abnormal_Sperm,177,161,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (779).bmp,Abnormal_Sperm,154,204,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (78).bmp,Abnormal_Sperm,173,184,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (780).bmp,Abnormal_Sperm,158,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (781).bmp,Abnormal_Sperm,177,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (782).bmp,Abnormal_Sperm,170,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (783).bmp,Abnormal_Sperm,148,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (784).bmp,Abnormal_Sperm,183,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (785).bmp,Abnormal_Sperm,178,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (786).bmp,Abnormal_Sperm,162,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (787).bmp,Abnormal_Sperm,167,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (788).bmp,Abnormal_Sperm,188,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (789).bmp,Abnormal_Sperm,182,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (79).bmp,Abnormal_Sperm,178,170,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (790).bmp,Abnormal_Sperm,169,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (791).bmp,Abnormal_Sperm,158,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (792).bmp,Abnormal_Sperm,160,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (793).bmp,Abnormal_Sperm,161,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (794).bmp,Abnormal_Sperm,174,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (795).bmp,Abnormal_Sperm,155,167,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (796).bmp,Abnormal_Sperm,173,162,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (797).bmp,Abnormal_Sperm,168,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (798).bmp,Abnormal_Sperm,188,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (799).bmp,Abnormal_Sperm,175,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (8).bmp,Abnormal_Sperm,212,159,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (80).bmp,Abnormal_Sperm,151,208,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (800).bmp,Abnormal_Sperm,168,185,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (801).bmp,Abnormal_Sperm,155,183,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (802).bmp,Abnormal_Sperm,179,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (803).bmp,Abnormal_Sperm,169,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (804).bmp,Abnormal_Sperm,152,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (805).bmp,Abnormal_Sperm,177,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (806).bmp,Abnormal_Sperm,181,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (807).bmp,Abnormal_Sperm,180,158,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (808).bmp,Abnormal_Sperm,184,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (809).bmp,Abnormal_Sperm,152,134,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (81).bmp,Abnormal_Sperm,179,189,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (810).bmp,Abnormal_Sperm,153,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (811).bmp,Abnormal_Sperm,172,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (812).bmp,Abnormal_Sperm,159,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (813).bmp,Abnormal_Sperm,178,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (814).bmp,Abnormal_Sperm,185,167,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (815).bmp,Abnormal_Sperm,180,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (816).bmp,Abnormal_Sperm,169,163,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (817).bmp,Abnormal_Sperm,176,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (818).bmp,Abnormal_Sperm,179,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (819).bmp,Abnormal_Sperm,183,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (82).bmp,Abnormal_Sperm,160,190,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (820).bmp,Abnormal_Sperm,146,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (821).bmp,Abnormal_Sperm,167,166,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (822).bmp,Abnormal_Sperm,177,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (823).bmp,Abnormal_Sperm,175,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (824).bmp,Abnormal_Sperm,166,185,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (825).bmp,Abnormal_Sperm,156,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (826).bmp,Abnormal_Sperm,151,177,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (827).bmp,Abnormal_Sperm,169,162,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (828).bmp,Abnormal_Sperm,179,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (829).bmp,Abnormal_Sperm,155,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (83).bmp,Abnormal_Sperm,158,168,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (830).bmp,Abnormal_Sperm,171,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (831).bmp,Abnormal_Sperm,174,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (832).bmp,Abnormal_Sperm,170,190,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (833).bmp,Abnormal_Sperm,182,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (834).bmp,Abnormal_Sperm,162,163,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (835).bmp,Abnormal_Sperm,181,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (836).bmp,Abnormal_Sperm,158,183,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (837).bmp,Abnormal_Sperm,163,161,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (838).bmp,Abnormal_Sperm,155,177,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (839).bmp,Abnormal_Sperm,152,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (84).bmp,Abnormal_Sperm,193,162,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (840).bmp,Abnormal_Sperm,203,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (841).bmp,Abnormal_Sperm,168,168,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (842).bmp,Abnormal_Sperm,152,174,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (843).bmp,Abnormal_Sperm,178,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (844).bmp,Abnormal_Sperm,164,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (845).bmp,Abnormal_Sperm,181,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (846).bmp,Abnormal_Sperm,169,182,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (847).bmp,Abnormal_Sperm,181,158,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (848).bmp,Abnormal_Sperm,171,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (849).bmp,Abnormal_Sperm,146,167,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (85).bmp,Abnormal_Sperm,174,235,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (850).bmp,Abnormal_Sperm,154,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (851).bmp,Abnormal_Sperm,165,178,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (852).bmp,Abnormal_Sperm,156,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (853).bmp,Abnormal_Sperm,166,184,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (854).bmp,Abnormal_Sperm,160,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (855).bmp,Abnormal_Sperm,189,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (856).bmp,Abnormal_Sperm,178,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (857).bmp,Abnormal_Sperm,189,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (858).bmp,Abnormal_Sperm,170,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (859).bmp,Abnormal_Sperm,186,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (86).bmp,Abnormal_Sperm,197,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (860).bmp,Abnormal_Sperm,174,161,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (861).bmp,Abnormal_Sperm,168,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (862).bmp,Abnormal_Sperm,192,178,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (863).bmp,Abnormal_Sperm,191,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (864).bmp,Abnormal_Sperm,150,177,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (865).bmp,Abnormal_Sperm,166,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (866).bmp,Abnormal_Sperm,158,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (867).bmp,Abnormal_Sperm,165,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (868).bmp,Abnormal_Sperm,179,158,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (869).bmp,Abnormal_Sperm,183,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (87).bmp,Abnormal_Sperm,167,201,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (870).bmp,Abnormal_Sperm,181,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (871).bmp,Abnormal_Sperm,163,183,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (872).bmp,Abnormal_Sperm,164,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (873).bmp,Abnormal_Sperm,186,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (874).bmp,Abnormal_Sperm,185,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (875).bmp,Abnormal_Sperm,160,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (876).bmp,Abnormal_Sperm,176,147,BMP,RGB
